Activity ID,Date,Person,Call Connect,Pitch,Disposition,Customer Account ID,Outcome,,,,
1EtMatvJmG,9/3/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,32361,Open,,,,
1EV7IPnBh5,9/13/2024,Manager,Connected,Smooth,No Interest,19380,Loss,,,,
1f3v1pW,9/13/2024,Owner,Connected,AI,No interest,87232,Loss,,,,
1isq04sG61,9/13/2024,Manager,Connected,Operator,Engaged,92102,Win,,,,
1kfgSYmc29,9/3/2024,Owner,Connected,Operator,Deferred to Other Stakeholder,39158,Open,,,,
1KkNYt1,9/13/2024,Manager,Connected,AI,Engaged,60437,Win,,,,
1KkNYt6,9/13/2024,Owner,Connected,AI,Engaged,60437,Win,,,,
1MjmaXF,9/9/2024,Manager,Connected,AI,No Interest,72377,Loss,,,,
1N4574wH9n,9/12/2024,,No Answer,N/A,N/A,20513,#N/A,,,,
1o6D45T,9/10/2024,Owner,Connected,Operator,No interest,61213,Loss,,,,
1Oj1DmkGCC,9/4/2024,,No Answer,N/A,N/A,87476,#N/A,,,,
1p4KiLF,9/12/2024,,No Answer,N/A,N/A,93247,#N/A,,,,
1qSvOqM,9/13/2024,,No Answer,N/A,N/A,89548,#N/A,,,,
1REHzqJ,9/10/2024,Owner,Connected,Operator,Engaged,61147,Open,,,,
1RJl77tKZM,9/6/2024,Manager,Connected,AI,No Interest,21261,Loss,,,,
1uQ8Q25,9/5/2024,Manager,Connected,Smooth,No Interest,57186,Loss,,,,
1vsfZG9,9/6/2024,Manager,Connected,Operator,No Interest,35257,Loss,,,,
1x1Ng2jYo4,9/9/2024,,No Answer,N/A,N/A,60472,#N/A,,,,
1ZUyjXnVXG,9/11/2024,,No Answer,N/A,N/A,15303,#N/A,,,,
20FkgVG,9/12/2024,,No Answer,N/A,N/A,62938,#N/A,,,,
21691U4,9/11/2024,Owner,Connected,AI,No Interest,39377,Loss,,,,
23K3O4U,9/10/2024,,No Answer,N/A,N/A,84730,#N/A,,,,
25S9i22,9/13/2024,Manager,Connected,Operator,No Interest,44349,Loss,,,,
26TAbHO,9/5/2024,Owner,Connected,AI,No interest,59675,Loss,,,,
27c0ChlKsI,9/2/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,18149,Open,,,,
2aeUUva9O5,9/4/2024,,No Answer,N/A,N/A,22897,#N/A,,,,
2B0790Z,9/5/2024,Manager,Connected,Smooth,No Interest,96565,Loss,,,,
2BP4L8bzZh,9/13/2024,,No Answer,N/A,N/A,19952,#N/A,,,,
2c2nfOQ,9/9/2024,Manager,Connected,AI,Deferred to Other Stakeholder,23317,Loss,,,,
2c8gU0D,9/2/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,85841,Open,,,,
2dN5HS7,9/4/2024,Owner,Connected,Operator,Engaged,54519,Loss,,,,
2E8i1Hk1tW,9/3/2024,Manager,Connected,Smooth,No Interest,79723,Loss,,,,
2eL1o7b9Pg,9/12/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,91828,Loss,,,,
2H218HpxW3,9/5/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,56716,Open,,,,
2JkybrfP4A,9/2/2024,Manager,Connected,Operator,No Interest,66568,Loss,,,,
2mFcKW5,9/12/2024,Manager,Connected,AI,No Interest,16938,Loss,,,,
2r37T6ee4c,9/3/2024,,No Answer,N/A,N/A,60458,#N/A,,,,
2sdKYy4,9/3/2024,,No Answer,N/A,N/A,42555,#N/A,,,,
2tqZ5w7,9/4/2024,Owner,Connected,Smooth,Engaged,27933,Loss,,,,
2VlFVd0,9/11/2024,Manager,Connected,Smooth,No Interest,12090,Loss,,,,
2vp4sX7,9/5/2024,,No Answer,N/A,N/A,11620,#N/A,,,,
2zIyx4ao3R,9/6/2024,Manager,Connected,Smooth,No Interest,14733,Loss,,,,
2ZzHb4K,9/9/2024,,No Answer,N/A,N/A,87088,#N/A,,,,
32gpKZO,9/10/2024,Owner,Connected,Smooth,Engaged,60169,Open,,,,
345u0LsrcW,9/13/2024,Owner,Connected,Smooth,Engaged,79789,Open,,,,
34Mln9aK1o,9/9/2024,Manager,Connected,Operator,No Interest,66954,Loss,,,,
34N0WqpUMy,9/4/2024,,No Answer,N/A,N/A,82050,#N/A,,,,
3772G59,9/6/2024,,No Answer,N/A,N/A,59721,#N/A,,,,
37pA9V8,9/2/2024,,No Answer,N/A,N/A,24631,#N/A,,,,
38yi7b0,9/10/2024,,No Answer,N/A,N/A,12953,#N/A,,,,
38ZCS7w78I,9/6/2024,,No Answer,N/A,N/A,41220,#N/A,,,,
3BPYz91,9/6/2024,,No Answer,N/A,N/A,50449,Loss,,,,
3e5CjBsdBi,9/4/2024,Manager,Connected,Smooth,No Interest,64202,Loss,,,,
3EH386K,9/6/2024,,No Answer,N/A,N/A,21941,#N/A,,,,
3G97OJM,9/10/2024,,No Answer,N/A,N/A,41683,#N/A,,,,
3GT4632,9/4/2024,Owner,Connected,Smooth,Engaged,91103,Open,,,,
3gz18KB,9/9/2024,,No Answer,N/A,N/A,32370,#N/A,,,,
3h674YC,9/9/2024,,No Answer,N/A,N/A,24626,#N/A,,,,
3i03iH1,9/2/2024,Manager,Connected,AI,No Interest,80100,Loss,,,,
3i251hfczt,9/4/2024,Manager,Connected,AI,Deferred to Other Stakeholder,72298,Loss,,,,
3I2Z6D2,9/13/2024,Manager,Connected,Smooth,No Interest,75943,Loss,,,,
3l4fa3z23j,9/10/2024,Manager,Connected,Operator,No Interest,36150,Loss,,,,
3n3rq0V,9/6/2024,,No Answer,N/A,N/A,33019,#N/A,,,,
3nD3960,9/2/2024,,No Answer,N/A,N/A,35551,#N/A,,,,
3nG2L95,9/2/2024,Manager,Connected,AI,No Interest,21828,Loss,,,,
3o3GQZeu0a,9/13/2024,Manager,Connected,Smooth,No Interest,69899,Loss,,,,
3o83Rm2,9/10/2024,Manager,Connected,AI,Deferred to Other Stakeholder,65989,Loss,,,,
3q08TDC,9/5/2024,Manager,Connected,Smooth,No Interest,77688,Loss,,,,
3U1P33r9f2,9/2/2024,Manager,Connected,Smooth,No Interest,95299,Loss,,,,
3u9R7DU,9/10/2024,,No Answer,N/A,N/A,92388,#N/A,,,,
3Ut885o59r,9/2/2024,,No Answer,N/A,N/A,31329,#N/A,,,,
3VSb8To8X9,9/10/2024,,No Answer,N/A,N/A,79683,#N/A,,,,
3yCC3V9,9/5/2024,,No Answer,N/A,N/A,32374,#N/A,,,,
3Zdhva8,9/13/2024,Manager,Connected,AI,No Interest,73194,Loss,,,,
406Z4b3,9/6/2024,Manager,Connected,Smooth,No Interest,16698,Loss,,,,
429D9ulSwK,9/6/2024,Manager,Connected,AI,Deferred to Other Stakeholder,59348,Loss,,,,
42J7i8kT5k,9/3/2024,Manager,Connected,Operator,No Interest,45721,Loss,,,,
42om4iv79L,9/11/2024,Owner,Connected,AI,Engaged,55501,Open,,,,
42U2KY0,9/12/2024,,No Answer,N/A,N/A,57270,#N/A,,,,
45C9r2i68o,9/6/2024,Owner,Connected,AI,Engaged,15642,Win,,,,
45qGLs9,9/6/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,44219,Open,,,,
46TN1fT,9/6/2024,,No Answer,N/A,N/A,88124,#N/A,,,,
4a5LIy9,9/3/2024,Manager,Connected,Operator,No Interest,74433,Loss,,,,
4Bmb30z49A,9/11/2024,Manager,Connected,AI,Deferred to Other Stakeholder,11467,Loss,,,,
4C7cH67,9/9/2024,,No Answer,N/A,N/A,88137,#N/A,,,,
4czW7EL,9/6/2024,Manager,Connected,AI,No Interest,94986,Loss,,,,
4eK2aE3,9/4/2024,,No Answer,N/A,N/A,12754,#N/A,,,,
4ezh55l78x,9/2/2024,,No Answer,N/A,N/A,74523,#N/A,,,,
4f7t501,9/11/2024,,No Answer,N/A,N/A,50472,#N/A,,,,
4Fvr4Max34,9/11/2024,,No Answer,N/A,N/A,81704,#N/A,,,,
4Gc2RVpkbe,9/5/2024,Owner,Connected,Smooth,Engaged,68828,Open,,,,
4hC5i8W,9/13/2024,Manager,Connected,Smooth,No Interest,65269,Loss,,,,
4i5yxKrfk4,9/13/2024,Manager,Connected,Operator,No Interest,13064,Loss,,,,
4jJ5C61,9/11/2024,,No Answer,N/A,N/A,63706,#N/A,,,,
4JKt6E8,9/12/2024,,No Answer,N/A,N/A,76241,#N/A,,,,
4lNTd04,9/11/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,26061,Open,,,,
4lw1UJO,9/3/2024,Owner,Connected,Operator,No interest,34310,Loss,,,,
4OGsoUT,9/12/2024,Owner,Connected,Smooth,No interest,99709,Loss,,,,
4oR63QyVit,9/5/2024,Manager,Connected,Smooth,No Interest,70409,Loss,,,,
4QvbhGhj7O,9/2/2024,Owner,Connected,Smooth,Engaged,69878,Loss,,,,
4rAZz87,9/4/2024,Manager,Connected,Smooth,No Interest,65102,Loss,,,,
4S9Y8Dtl51,9/6/2024,Owner,Connected,Smooth,Engaged,93812,Open,,,,
4W8YVJ9,9/5/2024,Owner,Connected,Smooth,Engaged,97627,Loss,,,,
4y6hmhC,9/6/2024,,No Answer,N/A,N/A,21123,#N/A,,,,
507o6ZB,9/2/2024,,No Answer,N/A,N/A,24823,#N/A,,,,
50fyT8H,9/2/2024,Manager,Connected,AI,No Interest,72754,Loss,,,,
51FxSzN,9/4/2024,Owner,Connected,Operator,No interest,36188,Loss,,,,
525i09y3nN,9/3/2024,Manager,Connected,Operator,No Interest,92445,Loss,,,,
52TUH63,9/4/2024,,No Answer,N/A,N/A,36774,#N/A,,,,
5381UwS,9/6/2024,Owner,Connected,Smooth,Engaged,36026,Open,,,,
540QY7K,9/9/2024,,No Answer,N/A,N/A,22285,#N/A,,,,
542IHCM,9/11/2024,,No Answer,N/A,N/A,51831,#N/A,,,,
548h5HC,9/13/2024,Manager,Connected,Operator,No Interest,62640,Loss,,,,
55G1u6O,9/6/2024,,No Answer,N/A,N/A,16259,#N/A,,,,
55U9S05,9/13/2024,Owner,Connected,AI,No interest,74187,Loss,,,,
56j33U1,9/9/2024,,No Answer,N/A,N/A,37935,#N/A,,,,
56x37A6,9/3/2024,,No Answer,N/A,N/A,97336,#N/A,,,,
5A2dPMq4lw,9/12/2024,,No Answer,N/A,N/A,97257,#N/A,,,,
5BH6ZXX,9/10/2024,Manager,Connected,Operator,No Interest,66319,Loss,,,,
5CG4z15,9/12/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,43486,Open,,,,
5CrgWyjw5B,9/6/2024,Manager,Connected,Operator,Engaged,12068,Open,,,,
5CS80YP,9/5/2024,Owner,Connected,Smooth,Engaged,30249,Loss,,,,
5csP628,9/13/2024,,No Answer,N/A,N/A,22022,#N/A,,,,
5DMQ612,9/13/2024,Manager,Connected,Smooth,No Interest,79534,Loss,,,,
5DpM974,9/10/2024,Manager,Connected,Smooth,No Interest,94428,Loss,,,,
5f4rLzjacA,9/5/2024,Manager,Connected,AI,No Interest,82766,Loss,,,,
5G3F46rc3G,9/12/2024,Manager,Connected,Operator,No Interest,44305,Loss,,,,
5HongD3,9/6/2024,Manager,Connected,Operator,No Interest,34538,Loss,,,,
5IB21tZ,9/2/2024,Owner,Connected,AI,Engaged,91082,Open,,,,
5jD3LA7,9/10/2024,Manager,Connected,AI,No Interest,97081,Loss,,,,
5JEei1S,9/10/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,64767,Open,,,,
5Jtf54Y,9/13/2024,,No Answer,N/A,N/A,31111,#N/A,,,,
5L78YHP,9/6/2024,,No Answer,N/A,N/A,10136,#N/A,,,,
5ltU17U,9/13/2024,Manager,Connected,Operator,No Interest,39096,Loss,,,,
5Mb4k4xjEZ,9/6/2024,,No Answer,N/A,N/A,66573,Win,,,,
5MsAoSlX6b,9/2/2024,Manager,Connected,Smooth,No Interest,83395,Loss,,,,
5N95Bg5,9/4/2024,Manager,Connected,Smooth,No Interest,90539,Loss,,,,
5NQBMVI,9/13/2024,Owner,Connected,Operator,No interest,99072,Loss,,,,
5P8vtfY,9/13/2024,Manager,Connected,AI,Deferred to Other Stakeholder,99997,Loss,,,,
5PEU210,9/6/2024,Manager,Connected,AI,No Interest,51982,Loss,,,,
5pLbcMQ,9/10/2024,Manager,Connected,Smooth,No Interest,50449,Loss,,,,
5qkMRv9,9/3/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,76842,Open,,,,
5SlA86M,9/10/2024,Manager,Connected,AI,No Interest,27716,Loss,,,,
5T6t71xXQU,9/3/2024,,No Answer,N/A,N/A,68617,#N/A,,,,
5u4dcQ5,9/3/2024,Manager,Connected,AI,Engaged,75084,Loss,,,,
5vbk261,9/4/2024,,No Answer,N/A,N/A,51571,#N/A,,,,
5w1TXY9,9/2/2024,Manager,Connected,Smooth,No Interest,90644,Loss,,,,
5WT7hGnPtO,9/6/2024,,No Answer,N/A,N/A,56049,#N/A,,,,
5x58ZoP,9/4/2024,,No Answer,N/A,N/A,15993,#N/A,,,,
61YazIM,9/10/2024,,No Answer,N/A,N/A,23164,#N/A,,,,
6455pQM,9/4/2024,Owner,Connected,Operator,Engaged,28617,Win,,,,
66625lU,9/3/2024,Manager,Connected,Smooth,No Interest,50068,Loss,,,,
66Wf8MM,9/13/2024,Manager,Connected,Operator,No Interest,37038,Loss,,,,
67b5M4kY51,9/13/2024,Manager,Connected,Operator,No Interest,80163,Loss,,,,
67M2IwD,9/12/2024,Owner,Connected,Smooth,Engaged,68388,Win,,,,
688qG22,9/2/2024,,No Answer,N/A,N/A,74613,#N/A,,,,
68NwCf6,9/4/2024,Manager,Connected,Smooth,No Interest,51186,Loss,,,,
6aW238vvx2,9/13/2024,Owner,Connected,Operator,Engaged,32430,Open,,,,
6BLb7BQ,9/3/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,26680,Loss,,,,
6DQNOnQ,9/11/2024,,No Answer,N/A,N/A,10021,#N/A,,,,
6fD9A49,9/4/2024,,No Answer,N/A,N/A,90277,#N/A,,,,
6ffEzCu0l4,9/4/2024,,No Answer,N/A,N/A,63467,#N/A,,,,
6i4J1XE,9/12/2024,Owner,Connected,Smooth,Engaged,62680,Open,,,,
6kx515unRK,9/3/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,53890,Open,,,,
6md0752,9/11/2024,Manager,Connected,AI,No interest,96289,Loss,,,,
6N495meY46,9/12/2024,Manager,Connected,AI,No Interest,52725,Loss,,,,
6PpxLlL,9/2/2024,,No Answer,N/A,N/A,51832,#N/A,,,,
6VF26O8,9/5/2024,,No Answer,N/A,N/A,51529,#N/A,,,,
6VI0LAS,9/4/2024,Manager,Connected,AI,Deferred to Other Stakeholder,40484,Open,,,,
6xjQi6bY83,9/6/2024,Manager,Connected,Smooth,No Interest,64985,Loss,,,,
6Xl00UF,9/12/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,44579,Open,,,,
6yJLTl2,9/2/2024,Owner,Connected,Smooth,No interest,17735,Loss,,,,
6zPxAg2,9/9/2024,,No Answer,N/A,N/A,94444,Loss,,,,
6zQhq32,9/5/2024,,No Answer,N/A,N/A,60145,#N/A,,,,
706SEtp1F3,9/12/2024,Manager,Connected,Operator,No Interest,40418,Loss,,,,
70Nr775,9/12/2024,,No Answer,N/A,N/A,99069,#N/A,,,,
70PM2xx8w0,9/6/2024,Owner,Connected,AI,Engaged,85409,Loss,,,,
71C80mC,9/9/2024,Manager,Connected,Operator,No Interest,14470,Loss,,,,
71ikwvlVU3,9/10/2024,Owner,Connected,Smooth,Engaged,73883,Win,,,,
71Jks22,9/12/2024,Manager,Connected,Smooth,No Interest,58129,Loss,,,,
7209tN7,9/6/2024,,No Answer,N/A,N/A,41796,#N/A,,,,
72i0TWu2TK,9/3/2024,,No Answer,N/A,N/A,39540,#N/A,,,,
72us109,9/4/2024,,No Answer,N/A,N/A,56827,#N/A,,,,
73jWf44,9/9/2024,Manager,Connected,Operator,No Interest,41895,Loss,,,,
755ESB9,9/2/2024,Manager,Connected,Smooth,No Interest,80301,Loss,,,,
7666YitQ0t,9/12/2024,Owner,Connected,Smooth,Engaged,66095,Win,,,,
76g8x84,9/12/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,81125,Loss,,,,
777L12mduy,9/10/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,60930,Open,,,,
77h1LbM,9/13/2024,Manager,Connected,Smooth,No Interest,16161,Loss,,,,
78l7d6V,9/2/2024,,No Answer,N/A,N/A,25913,#N/A,,,,
7bT5Qt9,9/13/2024,Manager,Connected,Smooth,Engaged,70123,Loss,,,,
7C0gQbqe97,9/3/2024,,No Answer,N/A,N/A,26069,#N/A,,,,
7cdsE6F,9/4/2024,,No Answer,N/A,N/A,86965,#N/A,,,,
7cpce76,9/9/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,44370,Open,,,,
7d5FSIA,9/12/2024,Manager,Connected,Smooth,No Interest,92553,Loss,,,,
7dI5e5vLmX,9/3/2024,,No Answer,N/A,N/A,95324,#N/A,,,,
7Dn5Qw2,9/2/2024,,No Answer,N/A,N/A,83262,#N/A,,,,
7DT2X8G,9/12/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,43854,Open,,,,
7FDWmTX,9/2/2024,Manager,Connected,Smooth,No Interest,91532,Loss,,,,
7hh269Y,9/3/2024,Manager,Connected,Operator,No Interest,37539,Loss,,,,
7HOeMIb348,9/2/2024,Manager,Connected,Operator,No Interest,47655,Loss,,,,
7ix8udjvwn,9/5/2024,Manager,Connected,Operator,No Interest,59767,Loss,,,,
7j6kiwvNSb,9/6/2024,,No Answer,N/A,N/A,93152,#N/A,,,,
7JOxQhfxE3,9/6/2024,Manager,Connected,Operator,No Interest,75413,Loss,,,,
7M9J5m9,9/6/2024,Owner,Connected,Operator,No interest,55853,Loss,,,,
7o16php4zS,9/4/2024,,No Answer,N/A,N/A,35806,#N/A,,,,
7O3YYMU,9/11/2024,,No Answer,N/A,N/A,85240,#N/A,,,,
7O6JvAb918,9/6/2024,,No Answer,N/A,N/A,25076,#N/A,,,,
7o9dUHK,9/9/2024,Manager,Connected,AI,Deferred to Other Stakeholder,65281,Loss,,,,
7P1sU38,9/11/2024,Manager,Connected,AI,No Interest,97956,Loss,,,,
7p8j418,9/2/2024,,No Answer,N/A,N/A,88263,#N/A,,,,
7pq3d5L,9/3/2024,Manager,Connected,AI,No interest,88259,Loss,,,,
7PUdACB,9/10/2024,,No Answer,N/A,N/A,57094,#N/A,,,,
7PV3R5b1R9,9/13/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,74818,Loss,,,,
7QlyU00,9/6/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,29849,Open,,,,
7T76poG,9/13/2024,,No Answer,N/A,N/A,92947,#N/A,,,,
7uaeWWZ,9/10/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,71727,Loss,,,,
7vJXI8Z,9/4/2024,,No Answer,N/A,N/A,89713,#N/A,,,,
7x1x597,9/3/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,59142,Open,,,,
7ZI5rq5,9/10/2024,,No Answer,N/A,N/A,74350,#N/A,,,,
80R1r7N,9/9/2024,,No Answer,N/A,N/A,76629,#N/A,,,,
8173Ti4,9/12/2024,,No Answer,N/A,N/A,76921,#N/A,,,,
824yvXB,9/2/2024,Manager,Connected,Smooth,No Interest,20797,Loss,,,,
82Wsi30,9/13/2024,,No Answer,N/A,N/A,71300,#N/A,,,,
832ig4Z,9/11/2024,Manager,Connected,Smooth,No Interest,15632,Loss,,,,
838YTYK,9/10/2024,Owner,Connected,AI,Engaged,31433,Open,,,,
839hGVl7Ec,9/10/2024,Owner,Connected,AI,No Interest,60116,Loss,,,,
84YP3s7,9/11/2024,Owner,Connected,AI,No interest,85585,Loss,,,,
858WEj3,9/11/2024,Owner,Connected,Operator,Engaged,48193,Open,,,,
85AR5GU,9/4/2024,Owner,Connected,Smooth,Engaged,85913,Win,,,,
85c7lb2,9/2/2024,Manager,Connected,Operator,Deferred to Other Stakeholder,18438,Open,,,,
85cxIMaFd9,9/6/2024,,No Answer,N/A,N/A,96696,#N/A,,,,
86GaarL,9/12/2024,Owner,Connected,Operator,Engaged,91071,Open,,,,
87Q2aW0,9/12/2024,Manager,Connected,Smooth,Engaged,65538,Win,,,,
87Q2aW1,9/12/2024,Owner,Connected,Smooth,Engaged,65538,Win,,,,
882tdq5,9/2/2024,,No Answer,N/A,N/A,32447,#N/A,,,,
88j3I8H,9/13/2024,Owner,Connected,AI,No interest,15251,Loss,,,,
89c1LybA4l,9/11/2024,,No Answer,N/A,N/A,74188,#N/A,,,,
8BK25KqvKT,9/4/2024,Manager,Connected,Smooth,No Interest,50900,Loss,,,,
8BtP335,9/11/2024,Owner,Connected,AI,Engaged,59180,Open,,,,
8EHo5i7,9/9/2024,,No Answer,N/A,N/A,13753,#N/A,,,,
8gRX2cD,9/5/2024,,No Answer,N/A,N/A,59507,#N/A,,,,
8H8fxkH,9/12/2024,Owner,Connected,Smooth,Engaged,26390,Open,,,,
8i34Gq9,9/2/2024,,No Answer,N/A,N/A,45319,#N/A,,,,
8IBRUqoyRw,9/10/2024,,No Answer,N/A,N/A,86674,#N/A,,,,
8JkaS70,9/11/2024,Manager,Connected,Operator,No Interest,12612,Loss,,,,
8Kl4J5llA1,9/2/2024,Manager,Connected,Smooth,No Interest,24076,Loss,,,,
8ltEJr7,9/10/2024,,No Answer,N/A,N/A,83516,#N/A,,,,
8mfNuqk6Tx,9/10/2024,,No Answer,N/A,N/A,45619,#N/A,,,,
8n7WmR1,9/11/2024,,No Answer,N/A,N/A,46590,#N/A,,,,
8oUD671,9/10/2024,,No Answer,N/A,N/A,27365,#N/A,,,,
8OvNPcku14,9/13/2024,Manager,Connected,Operator,Engaged,45757,Open,,,,
8q8DIa7,9/10/2024,Manager,Connected,Operator,No Interest,69154,Loss,,,,
8s3I2Sdj83,9/13/2024,,No Answer,N/A,N/A,84388,#N/A,,,,
8s9meHA,9/11/2024,Manager,Connected,Smooth,No Interest,18433,Loss,,,,
8SvbND2,9/12/2024,Owner,Connected,Smooth,Engaged,39005,Open,,,,
8tqFTn7,9/10/2024,,No Answer,N/A,N/A,12142,#N/A,,,,
8xuki0n5HK,9/9/2024,Manager,Connected,Smooth,Engaged,63326,Loss,,,,
8YrO13fN6H,9/5/2024,Manager,Connected,Operator,No Interest,35335,Loss,,,,
900F27Q,9/9/2024,Manager,Connected,Smooth,Deferred to Other Stakeholder,98428,Loss,,,,
